gene_id,gene_name,description
ENSMUSG00000001440,Kpnb1,karyopherin (importin) beta 1 [Source:MGI Symbol;Acc:MGI:107532]
ENSMUSG00000001441,Npepps,aminopeptidase puromycin sensitive [Source:MGI Symbol;Acc:MGI:1101358]
ENSMUSG00000001444,Tbx21,T-box 21 [Source:MGI Symbol;Acc:MGI:1888984]
ENSMUSG00000001445,Mrpl10,mitochondrial ribosomal protein L10 [Source:MGI Symbol;Acc:MGI:1333801]
ENSMUSG00000001467,Cyp51,"cytochrome P450, family 51 [Source:MGI Symbol;Acc:MGI:106040]"
ENSMUSG00000001472,Tcf25,transcription factor 25 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:1914105]
ENSMUSG00000001473,Tubb6,"tubulin, beta 6 class V [Source:MGI Symbol;Acc:MGI:1915201]"
ENSMUSG00000001482,Def8,differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331]
ENSMUSG00000001493,Meox1,mesenchyme homeobox 1 [Source:MGI Symbol;Acc:MGI:103220]
ENSMUSG00000001494,Sost,sclerostin [Source:MGI Symbol;Acc:MGI:1921749]
ENSMUSG00000001496,Nkx2-1,NK2 homeobox 1 [Source:MGI Symbol;Acc:MGI:108067]
ENSMUSG00000001497,Pax9,paired box 9 [Source:MGI Symbol;Acc:MGI:97493]
ENSMUSG00000001504,Irx2,Iroquois homeobox 2 [Source:MGI Symbol;Acc:MGI:1197526]
ENSMUSG00000001506,Col1a1,"collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]"
ENSMUSG00000001507,Itga3,integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602]
ENSMUSG00000001508,Sgca,"sarcoglycan, alpha (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:894698]"
ENSMUSG00000001510,Dlx3,distal-less homeobox 3 [Source:MGI Symbol;Acc:MGI:94903]
ENSMUSG00000001517,Foxm1,forkhead box M1 [Source:MGI Symbol;Acc:MGI:1347487]
ENSMUSG00000001518,Itfg2,integrin alpha FG-GAP repeat containing 2 [Source:MGI Symbol;Acc:MGI:1915450]
ENSMUSG00000001520,Nrip2,nuclear receptor interacting protein 2 [Source:MGI Symbol;Acc:MGI:1891884]
ENSMUSG00000001521,Tulp3,tubby-like protein 3 [Source:MGI Symbol;Acc:MGI:1329045]
ENSMUSG00000001524,Gtf2h4,"general transcription factor II H, polypeptide 4 [Source:MGI Symbol;Acc:MGI:1338799]"
ENSMUSG00000001525,Tubb5,"tubulin, beta 5 class I [Source:MGI Symbol;Acc:MGI:107812]"
ENSMUSG00000001542,Ell2,elongation factor for RNA polymerase II 2 [Source:MGI Symbol;Acc:MGI:2183438]
ENSMUSG00000001552,Jup,junction plakoglobin [Source:MGI Symbol;Acc:MGI:96650]
ENSMUSG00000001555,Fkbp10,FK506 binding protein 10 [Source:MGI Symbol;Acc:MGI:104769]
ENSMUSG00000001558,Klhl10,kelch-like 10 [Source:MGI Symbol;Acc:MGI:2181067]
ENSMUSG00000001566,Mnx1,motor neuron and pancreas homeobox 1 [Source:MGI Symbol;Acc:MGI:109160]
ENSMUSG00000001569,Nom1,nucleolar protein with MIF4G domain 1 [Source:MGI Symbol;Acc:MGI:1861749]
ENSMUSG00000001576,Ergic1,endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 [Source:MGI Symbol;Acc:MGI:1914708]
ENSMUSG00000001583,Tnk1,"tyrosine kinase, non-receptor, 1 [Source:MGI Symbol;Acc:MGI:1930958]"
ENSMUSG00000001588,Acap1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:MGI Symbol;Acc:MGI:2388270]"
ENSMUSG00000001604,Tcea3,"transcription elongation factor A (SII), 3 [Source:MGI Symbol;Acc:MGI:1196908]"
ENSMUSG00000001622,Csn3,casein kappa [Source:MGI Symbol;Acc:MGI:107461]
ENSMUSG00000001627,Ifrd1,interferon-related developmental regulator 1 [Source:MGI Symbol;Acc:MGI:1316717]
ENSMUSG00000001630,Stk38l,serine/threonine kinase 38 like [Source:MGI Symbol;Acc:MGI:1922250]
ENSMUSG00000001632,Brpf1,"bromodomain and PHD finger containing, 1 [Source:MGI Symbol;Acc:MGI:1926033]"
ENSMUSG00000001642,Akr1b3,"aldo-keto reductase family 1, member B3 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1353494]"
ENSMUSG00000001655,Hoxc13,homeobox C13 [Source:MGI Symbol;Acc:MGI:99560]
ENSMUSG00000001656,Hoxc11,homeobox C11 [Source:MGI Symbol;Acc:MGI:96193]
ENSMUSG00000001657,Hoxc8,homeobox C8 [Source:MGI Symbol;Acc:MGI:96198]
ENSMUSG00000001661,Hoxc6,homeobox C6 [Source:MGI Symbol;Acc:MGI:96197]
ENSMUSG00000001663,Gstt1,"glutathione S-transferase, theta 1 [Source:MGI Symbol;Acc:MGI:107379]"
ENSMUSG00000001665,Gstt3,"glutathione S-transferase, theta 3 [Source:MGI Symbol;Acc:MGI:2143526]"
ENSMUSG00000001666,Ddt,D-dopachrome tautomerase [Source:MGI Symbol;Acc:MGI:1298381]
ENSMUSG00000001670,Tat,tyrosine aminotransferase [Source:MGI Symbol;Acc:MGI:98487]
ENSMUSG00000001672,Marveld3,MARVEL (membrane-associating) domain containing 3 [Source:MGI Symbol;Acc:MGI:1920858]
ENSMUSG00000001674,Ddx18,DEAD box helicase 18 [Source:MGI Symbol;Acc:MGI:1914192]
ENSMUSG00000001687,Ubl3,ubiquitin-like 3 [Source:MGI Symbol;Acc:MGI:1344373]
ENSMUSG00000001700,Gramd3,GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815]
ENSMUSG00000001707,Eef1e1,eukaryotic translation elongation factor 1 epsilon 1 [Source:MGI Symbol;Acc:MGI:1913393]
ENSMUSG00000001729,Akt1,thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]
ENSMUSG00000001739,Cldn15,claudin 15 [Source:MGI Symbol;Acc:MGI:1913103]
ENSMUSG00000001741,Il16,interleukin 16 [Source:MGI Symbol;Acc:MGI:1270855]
ENSMUSG00000001750,Tcirg1,"T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3 [Source:MGI Symbol;Acc:MGI:1350931]"
ENSMUSG00000001751,Naglu,alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB) [Source:MGI Symbol;Acc:MGI:1351641]
ENSMUSG00000001755,Coasy,Coenzyme A synthase [Source:MGI Symbol;Acc:MGI:1918993]
ENSMUSG00000001761,Smo,"smoothened, frizzled class receptor [Source:MGI Symbol;Acc:MGI:108075]"
ENSMUSG00000001763,Tspan33,tetraspanin 33 [Source:MGI Symbol;Acc:MGI:1919012]
ENSMUSG00000001767,Crnkl1,crooked neck pre-mRNA splicing factor 1 [Source:MGI Symbol;Acc:MGI:1914127]
ENSMUSG00000001768,Rin2,Ras and Rab interactor 2 [Source:MGI Symbol;Acc:MGI:1921280]
ENSMUSG00000001773,Folh1,folate hydrolase 1 [Source:MGI Symbol;Acc:MGI:1858193]
ENSMUSG00000001774,Chordc1,"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1 [Source:MGI Symbol;Acc:MGI:1914167]"
ENSMUSG00000001783,Rtcb,"RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:MGI Symbol;Acc:MGI:106379]"
ENSMUSG00000001785,Pwp1,"PWP1 homolog, endonuclein [Source:MGI Symbol;Acc:MGI:1914735]"
ENSMUSG00000001786,Fbxo7,F-box protein 7 [Source:MGI Symbol;Acc:MGI:1917004]
ENSMUSG00000001794,Capns1,"calpain, small subunit 1 [Source:MGI Symbol;Acc:MGI:88266]"
ENSMUSG00000001802,Lrp3,low density lipoprotein receptor-related protein 3 [Source:MGI Symbol;Acc:MGI:3584516]
ENSMUSG00000001815,Evx2,even-skipped homeobox 2 [Source:MGI Symbol;Acc:MGI:95462]
ENSMUSG00000001819,Hoxd13,homeobox D13 [Source:MGI Symbol;Acc:MGI:96205]
ENSMUSG00000001823,Hoxd12,homeobox D12 [Source:MGI Symbol;Acc:MGI:96204]
ENSMUSG00000001827,Folr1,folate receptor 1 (adult) [Source:MGI Symbol;Acc:MGI:95568]
ENSMUSG00000001829,Clpb,ClpB caseinolytic peptidase B [Source:MGI Symbol;Acc:MGI:1100517]
ENSMUSG00000001833,Septin7,septin 7 [Source:MGI Symbol;Acc:MGI:1335094]
ENSMUSG00000001844,Zdhhc4,"zinc finger, DHHC domain containing 4 [Source:MGI Symbol;Acc:MGI:1920131]"
ENSMUSG00000001847,Rac1,Rac family small GTPase 1 [Source:MGI Symbol;Acc:MGI:97845]
ENSMUSG00000001855,Nup214,nucleoporin 214 [Source:MGI Symbol;Acc:MGI:1095411]
ENSMUSG00000001864,Aif1l,allograft inflammatory factor 1-like [Source:MGI Symbol;Acc:MGI:1919598]
ENSMUSG00000001865,Cpa3,"carboxypeptidase A3, mast cell [Source:MGI Symbol;Acc:MGI:88479]"
ENSMUSG00000001870,Ltbp1,latent transforming growth factor beta binding protein 1 [Source:MGI Symbol;Acc:MGI:109151]
ENSMUSG00000001891,Ugp2,UDP-glucose pyrophosphorylase 2 [Source:MGI Symbol;Acc:MGI:2183447]
ENSMUSG00000001901,Kcnh6,"potassium voltage-gated channel, subfamily H (eag-related), member 6 [Source:MGI Symbol;Acc:MGI:2684139]"
ENSMUSG00000001909,Trmt1,tRNA methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1289155]
ENSMUSG00000001910,Nacc1,"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing [Source:MGI Symbol;Acc:MGI:1914080]"
ENSMUSG00000001911,Nfix,nuclear factor I/X [Source:MGI Symbol;Acc:MGI:97311]
ENSMUSG00000001918,Slc1a5,"solute carrier family 1 (neutral amino acid transporter), member 5 [Source:MGI Symbol;Acc:MGI:105305]"
ENSMUSG00000001924,Uba1,ubiquitin-like modifier activating enzyme 1 [Source:MGI Symbol;Acc:MGI:98890]
ENSMUSG00000001930,Vwf,Von Willebrand factor [Source:MGI Symbol;Acc:MGI:98941]
ENSMUSG00000001942,Siae,sialic acid acetylesterase [Source:MGI Symbol;Acc:MGI:104803]
ENSMUSG00000001943,Vsig2,V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009]
ENSMUSG00000001946,Esam,endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]
ENSMUSG00000001948,Spa17,sperm autoantigenic protein 17 [Source:MGI Symbol;Acc:MGI:1333778]
ENSMUSG00000001962,Fam50a,"family with sequence similarity 50, member A [Source:MGI Symbol;Acc:MGI:1351626]"
ENSMUSG00000001964,Emd,emerin [Source:MGI Symbol;Acc:MGI:108117]
ENSMUSG00000001983,Taco1,translational activator of mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:1917457]
ENSMUSG00000001985,Grik3,"glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]"
ENSMUSG00000001986,Gria3,"glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]"
ENSMUSG00000001988,Npas1,neuronal PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109205]
ENSMUSG00000001995,Sipa1l2,signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970]
ENSMUSG00000001998,Ap4e1,"adaptor-related protein complex AP-4, epsilon 1 [Source:MGI Symbol;Acc:MGI:1336993]"
ENSMUSG00000001999,Blvra,biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]
ENSMUSG00000002006,Pdzd4,PDZ domain containing 4 [Source:MGI Symbol;Acc:MGI:2443483]
ENSMUSG00000002007,Srpk3,serine/arginine-rich protein specific kinase 3 [Source:MGI Symbol;Acc:MGI:1891338]
ENSMUSG00000002010,Idh3g,"isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]"
ENSMUSG00000002012,Pnck,pregnancy upregulated non-ubiquitously expressed CaM kinase [Source:MGI Symbol;Acc:MGI:1347357]
ENSMUSG00000002014,Ssr4,"signal sequence receptor, delta [Source:MGI Symbol;Acc:MGI:1099464]"
ENSMUSG00000002015,Bcap31,B cell receptor associated protein 31 [Source:MGI Symbol;Acc:MGI:1350933]
ENSMUSG00000002017,Fam98a,"family with sequence similarity 98, member A [Source:MGI Symbol;Acc:MGI:1919972]"
ENSMUSG00000002020,Ltbp2,latent transforming growth factor beta binding protein 2 [Source:MGI Symbol;Acc:MGI:99502]
ENSMUSG00000002028,Kmt2a,lysine (K)-specific methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96995]
ENSMUSG00000002031,Ift46,intraflagellar transport 46 [Source:MGI Symbol;Acc:MGI:1923818]
ENSMUSG00000002032,Tmem25,transmembrane protein 25 [Source:MGI Symbol;Acc:MGI:1918937]
ENSMUSG00000002033,Cd3g,"CD3 antigen, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88333]"
ENSMUSG00000002043,Trappc6a,trafficking protein particle complex 6A [Source:MGI Symbol;Acc:MGI:1914341]
ENSMUSG00000002052,Supt6,"SPT6, histone chaperone and transcription elongation factor [Source:MGI Symbol;Acc:MGI:107726]"
ENSMUSG00000002055,Spag5,sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470]
ENSMUSG00000002057,Foxn1,forkhead box N1 [Source:MGI Symbol;Acc:MGI:102949]
ENSMUSG00000002058,Unc119,unc-119 lipid binding chaperone [Source:MGI Symbol;Acc:MGI:1328357]
ENSMUSG00000002059,Rab34,"RAB34, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:104606]"
ENSMUSG00000002064,Sdf2,stromal cell derived factor 2 [Source:MGI Symbol;Acc:MGI:108019]
ENSMUSG00000002068,Ccne1,cyclin E1 [Source:MGI Symbol;Acc:MGI:88316]
ENSMUSG00000002076,Hsf2bp,heat shock transcription factor 2 binding protein [Source:MGI Symbol;Acc:MGI:1921627]
ENSMUSG00000002083,Bbc3,BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667]
ENSMUSG00000002100,Mybpc3,"myosin binding protein C, cardiac [Source:MGI Symbol;Acc:MGI:102844]"
ENSMUSG00000002102,Psmc3,"proteasome (prosome, macropain) 26S subunit, ATPase 3 [Source:MGI Symbol;Acc:MGI:1098754]"
ENSMUSG00000002103,Acp2,"acid phosphatase 2, lysosomal [Source:MGI Symbol;Acc:MGI:87882]"
ENSMUSG00000002104,Rapsn,receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422]
ENSMUSG00000002105,Slc39a13,"solute carrier family 39 (metal ion transporter), member 13 [Source:MGI Symbol;Acc:MGI:1915677]"
ENSMUSG00000002107,Celf2,"CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]"
ENSMUSG00000002108,Nr1h3,"nuclear receptor subfamily 1, group H, member 3 [Source:MGI Symbol;Acc:MGI:1352462]"
ENSMUSG00000002109,Ddb2,damage specific DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1355314]
ENSMUSG00000002111,Spi1,spleen focus forming virus (SFFV) proviral integration oncogene [Source:MGI Symbol;Acc:MGI:98282]
ENSMUSG00000002129,Sf3a1,"splicing factor 3a, subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]"
ENSMUSG00000002147,Stat6,signal transducer and activator of transcription 6 [Source:MGI Symbol;Acc:MGI:103034]
ENSMUSG00000002190,Clgn,calmegin [Source:MGI Symbol;Acc:MGI:107472]
ENSMUSG00000002204,Napsa,napsin A aspartic peptidase [Source:MGI Symbol;Acc:MGI:109365]
ENSMUSG00000002205,Vrk3,vaccinia related kinase 3 [Source:MGI Symbol;Acc:MGI:2182465]
ENSMUSG00000002210,Smg9,SMG9 nonsense mediated mRNA decay factor [Source:MGI Symbol;Acc:MGI:1919247]
ENSMUSG00000002221,Paxip1,PAX interacting (with transcription-activation domain) protein 1 [Source:MGI Symbol;Acc:MGI:1890430]
ENSMUSG00000002222,Rmnd5a,required for meiotic nuclear division 5 homolog A [Source:MGI Symbol;Acc:MGI:1915727]
ENSMUSG00000002227,Mov10,Mov10 RISC complex RNA helicase [Source:MGI Symbol;Acc:MGI:97054]
ENSMUSG00000002228,Ppm1j,protein phosphatase 1J [Source:MGI Symbol;Acc:MGI:1919137]
ENSMUSG00000002233,Rhoc,ras homolog family member C [Source:MGI Symbol;Acc:MGI:106028]
ENSMUSG00000002240,Prr27,proline rich 27 [Source:MGI Symbol;Acc:MGI:1921029]
ENSMUSG00000002249,Tead3,TEA domain family member 3 [Source:MGI Symbol;Acc:MGI:109241]
ENSMUSG00000002250,Ppard,peroxisome proliferator activator receptor delta [Source:MGI Symbol;Acc:MGI:101884]
ENSMUSG00000002257,Def6,differentially expressed in FDCP 6 [Source:MGI Symbol;Acc:MGI:1346328]
ENSMUSG00000002265,Peg3,paternally expressed 3 [Source:MGI Symbol;Acc:MGI:104748]
ENSMUSG00000002266,Zim1,"zinc finger, imprinted 1 [Source:MGI Symbol;Acc:MGI:1341879]"
ENSMUSG00000002274,Metrn,"meteorin, glial cell differentiation regulator [Source:MGI Symbol;Acc:MGI:1917333]"
ENSMUSG00000002279,Lmf1,lipase maturation factor 1 [Source:MGI Symbol;Acc:MGI:1923733]
ENSMUSG00000002280,Ciao3,cytosolic iron-sulfur assembly component 3 [Source:MGI Symbol;Acc:MGI:1914813]
ENSMUSG00000002289,Angptl4,angiopoietin-like 4 [Source:MGI Symbol;Acc:MGI:1888999]
ENSMUSG00000002297,Dbf4,DBF4 zinc finger [Source:MGI Symbol;Acc:MGI:1351328]
ENSMUSG00000002307,Daxx,Fas death domain-associated protein [Source:MGI Symbol;Acc:MGI:1197015]
ENSMUSG00000002308,Cd320,CD320 antigen [Source:MGI Symbol;Acc:MGI:1860083]
ENSMUSG00000002319,Ipo4,importin 4 [Source:MGI Symbol;Acc:MGI:1923001]
ENSMUSG00000002320,Tm9sf1,transmembrane 9 superfamily member 1 [Source:MGI Symbol;Acc:MGI:1921390]
ENSMUSG00000002324,Rec8,REC8 meiotic recombination protein [Source:MGI Symbol;Acc:MGI:1929645]
ENSMUSG00000002325,Irf9,interferon regulatory factor 9 [Source:MGI Symbol;Acc:MGI:107587]
ENSMUSG00000002326,Gmpr2,guanosine monophosphate reductase 2 [Source:MGI Symbol;Acc:MGI:1917903]
ENSMUSG00000002329,Mdp1,magnesium-dependent phosphatase 1 [Source:MGI Symbol;Acc:MGI:1915131]
ENSMUSG00000002332,Dhrs1,dehydrogenase/reductase (SDR family) member 1 [Source:MGI Symbol;Acc:MGI:1196314]
ENSMUSG00000002341,Ncan,neurocan [Source:MGI Symbol;Acc:MGI:104694]
ENSMUSG00000002342,Tmem161a,transmembrane protein 161A [Source:MGI Symbol;Acc:MGI:2384577]
ENSMUSG00000002343,Armc6,armadillo repeat containing 6 [Source:MGI Symbol;Acc:MGI:1924063]
ENSMUSG00000002345,Borcs8,BLOC-1 related complex subunit 8 [Source:MGI Symbol;Acc:MGI:1919618]
ENSMUSG00000002346,Slc25a42,"solute carrier family 25, member 42 [Source:MGI Symbol;Acc:MGI:1920345]"
ENSMUSG00000002365,Snx9,sorting nexin 9 [Source:MGI Symbol;Acc:MGI:1913866]
ENSMUSG00000002372,Ranbp3,RAN binding protein 3 [Source:MGI Symbol;Acc:MGI:1919060]
ENSMUSG00000002379,Ndufa11,NADH:ubiquinone oxidoreductase subunit A11 [Source:MGI Symbol;Acc:MGI:1917125]
ENSMUSG00000002384,Bmp8b,bone morphogenetic protein 8b [Source:MGI Symbol;Acc:MGI:107335]
ENSMUSG00000002393,Nr2f6,"nuclear receptor subfamily 2, group F, member 6 [Source:MGI Symbol;Acc:MGI:1352453]"
ENSMUSG00000002395,Use1,unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914273]
ENSMUSG00000002396,Ocel1,occludin/ELL domain containing 1 [Source:MGI Symbol;Acc:MGI:1924340]
ENSMUSG00000002409,Dyrk1b,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b [Source:MGI Symbol;Acc:MGI:1330302]
ENSMUSG00000002413,Braf,Braf transforming gene [Source:MGI Symbol;Acc:MGI:88190]
ENSMUSG00000002416,Ndufb2,NADH:ubiquinone oxidoreductase subunit B2 [Source:MGI Symbol;Acc:MGI:1915448]
ENSMUSG00000002428,Hltf,helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]
ENSMUSG00000002455,Prpf6,pre-mRNA splicing factor 6 [Source:MGI Symbol;Acc:MGI:1922946]
ENSMUSG00000002458,Rgs19,regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153]
ENSMUSG00000002459,Rgs20,regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]
ENSMUSG00000002475,Abhd3,abhydrolase domain containing 3 [Source:MGI Symbol;Acc:MGI:2147183]
ENSMUSG00000002477,Snrpd1,small nuclear ribonucleoprotein D1 [Source:MGI Symbol;Acc:MGI:98344]
ENSMUSG00000002486,Tchp,"trichoplein, keratin filament binding [Source:MGI Symbol;Acc:MGI:1925082]"
ENSMUSG00000002489,Tiam1,T cell lymphoma invasion and metastasis 1 [Source:MGI Symbol;Acc:MGI:103306]
ENSMUSG00000002496,Tsc2,TSC complex subunit 2 [Source:MGI Symbol;Acc:MGI:102548]
ENSMUSG00000002500,Rpl3l,ribosomal protein L3-like [Source:MGI Symbol;Acc:MGI:1913461]
ENSMUSG00000002504,Slc9a3r2,"solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2 [Source:MGI Symbol;Acc:MGI:1890662]"
ENSMUSG00000002524,Puf60,poly-U binding splicing factor 60 [Source:MGI Symbol;Acc:MGI:1915209]
ENSMUSG00000002546,Golga2,"golgi autoantigen, golgin subfamily a, 2 [Source:MGI Symbol;Acc:MGI:2139395]"
ENSMUSG00000002550,Uck1,uridine-cytidine kinase 1 [Source:MGI Symbol;Acc:MGI:98904]
ENSMUSG00000002565,Scin,scinderin [Source:MGI Symbol;Acc:MGI:1306794]
ENSMUSG00000002578,Ikzf4,IKAROS family zinc finger 4 [Source:MGI Symbol;Acc:MGI:1343139]
ENSMUSG00000002580,Mien1,migration and invasion enhancer 1 [Source:MGI Symbol;Acc:MGI:1913678]
ENSMUSG00000002588,Pon1,paraoxonase 1 [Source:MGI Symbol;Acc:MGI:103295]
ENSMUSG00000002602,Axl,AXL receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:1347244]
ENSMUSG00000002603,Tgfb1,"transforming growth factor, beta 1 [Source:MGI Symbol;Acc:MGI:98725]"
ENSMUSG00000002608,Ccdc97,coiled-coil domain containing 97 [Source:MGI Symbol;Acc:MGI:1196455]
ENSMUSG00000002617,Zfp40,zinc finger protein 40 [Source:MGI Symbol;Acc:MGI:99185]
ENSMUSG00000002625,Akap8l,A kinase (PRKA) anchor protein 8-like [Source:MGI Symbol;Acc:MGI:1860606]
ENSMUSG00000002633,Shh,sonic hedgehog [Source:MGI Symbol;Acc:MGI:98297]
ENSMUSG00000002635,Pdcd2l,programmed cell death 2-like [Source:MGI Symbol;Acc:MGI:1915329]
ENSMUSG00000002658,Gtf2f1,"general transcription factor IIF, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1923848]"
ENSMUSG00000002660,Clpp,caseinolytic mitochondrial matrix peptidase proteolytic subunit [Source:MGI Symbol;Acc:MGI:1858213]
ENSMUSG00000002661,Alkbh7,alkB homolog 7 [Source:MGI Symbol;Acc:MGI:1913650]
ENSMUSG00000002664,Pspn,persephin [Source:MGI Symbol;Acc:MGI:1201684]
ENSMUSG00000002668,Dennd1c,DENN/MADD domain containing 1C [Source:MGI Symbol;Acc:MGI:1918035]
ENSMUSG00000002679,Med6,mediator complex subunit 6 [Source:MGI Symbol;Acc:MGI:1917042]
ENSMUSG00000002688,Prkd1,protein kinase D1 [Source:MGI Symbol;Acc:MGI:99879]
ENSMUSG00000002699,Lcp2,lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]
ENSMUSG00000002718,Cse1l,chromosome segregation 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1339951]
ENSMUSG00000002728,Naa20,"N(alpha)-acetyltransferase 20, NatB catalytic subunit [Source:MGI Symbol;Acc:MGI:1915127]"
ENSMUSG00000002731,Prkra,"protein kinase, interferon inducible double stranded RNA dependent activator [Source:MGI Symbol;Acc:MGI:1344375]"
ENSMUSG00000002732,Fkbp7,FK506 binding protein 7 [Source:MGI Symbol;Acc:MGI:1336879]
ENSMUSG00000002733,Plekha3,"pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3 [Source:MGI Symbol;Acc:MGI:1932515]"
ENSMUSG00000002741,Ykt6,YKT6 v-SNARE homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1927550]
ENSMUSG00000002748,Baz1b,"bromodomain adjacent to zinc finger domain, 1B [Source:MGI Symbol;Acc:MGI:1353499]"
ENSMUSG00000002763,Pex6,peroxisomal biogenesis factor 6 [Source:MGI Symbol;Acc:MGI:2385054]
ENSMUSG00000002767,Mrpl2,mitochondrial ribosomal protein L2 [Source:MGI Symbol;Acc:MGI:1351622]
ENSMUSG00000002768,Mea1,male enhanced antigen 1 [Source:MGI Symbol;Acc:MGI:96957]
ENSMUSG00000002769,Gnmt,glycine N-methyltransferase [Source:MGI Symbol;Acc:MGI:1202304]
ENSMUSG00000002771,Grin2d,"glutamate receptor, ionotropic, NMDA2D (epsilon 4) [Source:MGI Symbol;Acc:MGI:95823]"
ENSMUSG00000002778,Kdelr1,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1 [Source:MGI Symbol;Acc:MGI:1915387]
ENSMUSG00000002781,Tmem143,transmembrane protein 143 [Source:MGI Symbol;Acc:MGI:1917459]
ENSMUSG00000002791,Pdxk-ps,"pyridoxal (pyridoxine, vitamin B6) kinase, pseudogene [Source:MGI Symbol;Acc:MGI:1933201]"
ENSMUSG00000002797,Ggct,gamma-glutamyl cyclotransferase [Source:MGI Symbol;Acc:MGI:95700]
ENSMUSG00000002799,Jag2,jagged 2 [Source:MGI Symbol;Acc:MGI:1098270]
ENSMUSG00000002803,Btbd6,BTB (POZ) domain containing 6 [Source:MGI Symbol;Acc:MGI:3026623]
ENSMUSG00000002804,Nudt14,nudix (nucleoside diphosphate linked moiety X)-type motif 14 [Source:MGI Symbol;Acc:MGI:1913424]
ENSMUSG00000002808,Epdr1,ependymin related protein 1 (zebrafish) [Source:MGI Symbol;Acc:MGI:2145369]
ENSMUSG00000002812,Flii,flightless I actin binding protein [Source:MGI Symbol;Acc:MGI:1342286]
ENSMUSG00000002814,Top3a,topoisomerase (DNA) III alpha [Source:MGI Symbol;Acc:MGI:1197527]
